sample,area,convex_area,length,depth,width,wdRatio,centroid_x,centroid_y,sturdiness,mass_1_A1,mass_1_A2,mass_1_A_Ratio,mass_1_L1,mass_1_L2,mass_1_L_Ratio,mass_2_A1,mass_2_A2,mass_2_A_Ratio,mass_2_L1,mass_2_L2,mass_2_L_Ratio,mass_3_A1,mass_3_A2,mass_3_A_Ratio,mass_3_L1,mass_3_L2,mass_3_L_Ratio,density_1_1,density_1_2,density_2_1,density_2_2,density_3_1,density_3_2,angle_top_left,angle_top_right,angle_top_all,shape_1,angle_entire_left,angle_entire_right,angle_entire_all,shape_2,Unnamed: 42
797.png,927.6840123577896,7897.901744402308,627.4322289156627,46.38177710843374,325.76807228915663,7.0236220472440944,-511.21,120.49,0.0145067044955584,927.5172886576427,0.0,0.0,627.4322289156627,0.0,0.0,927.5172886576427,0.0,0.0,627.4322289156627,0.0,0.0,0.0,927.6840123577896,0.0,0.0,627.4322289156627,0.0,68.92927823050059,0.0,68.92927823050059,0.0,,68.9336437718277,87.01232570021901,-63.8860873697093,150.89841306992832,59.40882404327887,87.0312494662113,-66.84911620264845,153.88036566885975,60.58282112947234,
798.png,925.1498121155556,37491.85869159053,778.0817018072289,118.1457078313253,503.9909638554217,4.265842349304482,653.9,383.72,0.0037896744046226,924.9497436753792,0.0,0.0,778.0817018072289,0.0,0.0,924.9497436753792,0.0,0.0,778.0817018072289,0.0,0.0,0.0,925.1498121155556,0.0,0.0,778.0817018072289,0.0,263.8720957521709,0.0,263.8720957521709,0.0,,263.87491199249,76.8490513190553,-79.58397169242929,156.43302301148458,24.178210666380924,67.02767058793292,-73.55778601542822,140.58545660336114,21.72881864039585,
799.png,761.8272754515804,94540.87423678147,603.5109186746988,398.44503012048193,749.5952560240963,1.881301558203483,-430.21,236.58,0.0011656795717917,752.6908166835262,9.069769287995355,0.0120497940016834,581.9634789156627,21.364834337349397,0.036711641041732,752.6908166835262,9.069769287995355,0.0120497940016834,581.9634789156627,21.364834337349397,0.036711641041732,0.0,761.8272754515804,0.0,0.0,603.5109186746988,0.0,448.524631314716,12015.358974358976,794.2893002823972,2596.965811965812,,857.8686838124055,86.49789422634267,-44.42127443439224,130.9191686607349,5.99996190012534,62.49867643829434,-36.63886752894855,99.13754396724288,4.543425479708657,
800.png,548.0208023831017,9267.27018318946,432.5922439759036,66.10316265060241,235.5609939759036,3.56353591160221,-383.2,194.6,0.0085239436822429,547.8207339429254,0.0,0.0,432.5922439759036,0.0,0.0,547.8207339429254,0.0,0.0,432.5922439759036,0.0,0.0,0.0,548.0208023831017,0.0,0.0,432.5922439759036,0.0,117.31067961165049,0.0,117.31067961165049,0.0,,117.31658927817644,84.77723957347008,-16.69924423399362,101.47648380746372,28.032177847365663,81.87633031444987,-13.654785858284326,95.5311161727342,26.389811097440383,
801.png,559.1579455529195,177726.96418557325,455.7831325301205,415.97515060240966,768.2210090361446,1.8467954345917472,512.75,155.56,0.0004682940008273,555.9568505100976,3.1344055627631007,0.0056378576141066,448.29631024096386,7.486822289156627,0.0167006109979633,555.9568505100976,3.1344055627631007,0.0056378576141066,448.29631024096386,7.486822289156627,0.0167006109979633,0.0,559.1579455529195,0.0,0.0,455.7831325301205,0.0,1165.2448065173116,60225.48780487805,1953.386965376782,13033.073170731708,,2135.410657051282,86.47204988915345,-87.14614213029124,173.61819201944468,7.621518525875535,53.92244659502448,-78.14325272260476,132.06569931762922,5.797440707534206,
802.png,901.5750809147736,13341.56393316111,711.0655120481928,52.95557228915663,452.49623493975906,8.544827586206896,70.33,110.81,0.0097323236110069,901.5417361747442,0.0,0.0,710.882906626506,0.0,0.0,901.5417361747442,0.0,0.0,710.882906626506,0.0,0.0,0.0,901.5750809147736,0.0,0.0,711.0655120481928,0.0,102.7724120215772,0.0,102.7724120215772,0.0,,102.75038520801232,86.34622663163113,-85.36702997052444,171.71325660215558,59.21146779384676,79.48239757704414,-84.89989367316605,164.3822912502102,56.68354870696903,
803.png,539.9180305559588,12380.335112333747,422.0011295180723,79.43335843373494,279.38629518072287,3.5172413793103448,934.42,128.64,0.0062243625482448,539.4512041955472,0.0,0.0,422.0011295180723,0.0,0.0,539.4512041955472,0.0,0.0,422.0011295180723,0.0,0.0,0.0,539.9180305559588,0.0,0.0,422.0011295180723,0.0,160.63479013414107,0.0,160.63479013414107,0.0,,160.65902206836867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
804.png,335.2813609955636,4934.254595329738,265.6908885542169,51.3121234939759,184.9792921686747,3.604982206405694,-334.86,98.0,0.0098326091216878,335.2146715155048,0.0,0.0,265.6908885542169,0.0,0.0,335.2146715155048,0.0,0.0,265.6908885542169,0.0,0.0,0.0,335.2813609955636,0.0,0.0,265.6908885542169,0.0,101.69690721649484,0.0,101.69690721649484,0.0,,101.7024054982818,83.84961847149519,-35.753887254436755,119.60350572593194,42.5635251693708,83.55556314826124,-33.326289687115214,116.88185283537646,41.59496542184216,
805.png,492.1350180938362,102387.52511575859,449.5745481927711,308.2379518072289,745.9431475903615,2.4200236966824646,-107.51,1037.35,0.0008018042223362,75.89262830690231,415.04197914587564,5.468804920913884,82.90286144578313,366.671686746988,4.422907488986784,490.934607452778,0.0,0.0,449.5745481927711,0.0,0.0,490.934607452778,0.0,0.0,449.5745481927711,0.0,0.0,3543.5594713656387,0.0,1247.1543460601138,0.0,1247.1543460601138,0.0,79.39330170677937,-72.74734783317875,152.14064953995813,9.01307165521079,56.33206721485958,-61.74360953377421,118.07567674863378,6.99500454672001,
806.png,516.9101599356765,64044.80869283799,439.1660391566265,152.29292168674698,820.0809487951807,5.384892086330935,3219.07,291.23,0.0012521561295515,516.4433335752649,0.0,0.0,437.88780120481925,0.0,0.0,516.4433335752649,0.0,0.0,437.88780120481925,0.0,0.0,0.0,516.9101599356765,0.0,0.0,439.1660391566265,0.0,800.9332777314429,0.0,800.9332777314429,0.0,,798.6224532224533,78.46537934635528,-88.58067246773783,167.04605181409312,20.02950261559869,86.72951207681645,-87.81510257808485,174.5446146549013,20.928610869892243,
